pairId	DepthList	WidthList	Sent1SelfNum	Sent2SelfNum	InterSectNum
3826	1	1	37.0	19.0	1.0
3827	1|1|1|1|1|1|1	3|2|2|1|2|1|1	12.0	19.0	7.0
3828			37.0	12.0	0.0
3831	1|2|2|2|2|1|1|1|1|1|1|1	1|3|2|2|1|3|2|2|1|2|1|1	19.0	12.0	12.0
3834	1|1|2|2|2|2|2|2|2|2|2|2|2|2|2|2|1|1|1|1|2|2|1|1|1|1|2|2|1|1|1|1|2|2|1|1|1	1|1|4|3|4|3|3|2|3|2|3|2|2|1|4|3|4|3|3|2|3|2|3|2|2|1|3|2|3|2|2|1|2|1|2|1|1	76.0	76.0	37.0
3836	1	1	198.0	76.0	1.0
3838	1|2|1|1|2|1|1|2|1|1|2|1	1|3|3|2|2|2|1|2|2|1|1|1	148.0	19.0	12.0
3839			198.0	19.0	0.0
3840			76.0	51.0	0.0
3844	1|1	1|1	19.0	27.0	2.0
3845	1	1	19.0	85.0	1.0
3846	1|1|1|1|1|1|1	3|2|2|1|2|1|1	12.0	12.0	7.0
3847	1	1	12.0	19.0	1.0
3852			12.0	85.0	0.0
3853	1|2|2|1|1|1	1|2|1|2|1|1	19.0	12.0	6.0
3856	2|1|1|1|3|2|2|2|3|2|2|2|3|2|2|2|3|2|2|2|3|2|1|1|3|2|1|1|3|2|1|1|3|2|1|1|3|2|1|1|3|2|1|1|3|2|1|1|3|2|1	1|1|1|1|4|4|4|3|3|3|3|2|3|3|3|2|2|2|2|1|4|4|4|3|3|3|3|2|3|3|3|2|2|2|2|1|3|3|3|2|2|2|2|1|2|2|2|1|1|1|1	102.0	102.0	51.0
3857	1|2|1|1|1|3|3|3|3|3|2|2|2|3|2|2|2|3|2|2|2|3|3|3|3|3|2|2|2|3|2|2|2|3|2|2|2|3|3|3|3|3|2|2|2|3|2|1|1|3|2|1|1|3|3|3|3|3|2|2|2|3|2|1|1|3|2|1|1|3|3|3|3|3|2|2|2|3|2|1|1|3|2|1|1|3|3|3|3|3|2|2|2|3|2|1|1|3|2|1|2|1	1|1|1|1|1|4|4|4|3|4|4|4|3|4|4|4|3|3|3|3|2|3|3|3|2|3|3|3|2|3|3|3|2|2|2|2|1|4|4|4|3|4|4|4|3|4|4|4|3|3|3|3|2|3|3|3|2|3|3|3|2|3|3|3|2|2|2|2|1|3|3|3|2|3|3|3|2|3|3|3|2|2|2|2|1|2|2|2|1|2|2|2|1|2|2|2|1|1|1|1|1|1	102.0	198.0	102.0
3860	1|1|1	2|1|1	37.0	198.0	3.0
3864	1|1|1	2|1|1	37.0	102.0	3.0
3866	1|1	1|1	27.0	51.0	2.0
3868	1	1	27.0	27.0	1.0
3869	1|1	1|1	33.0	27.0	2.0
3870			27.0	51.0	0.0
3871			27.0	51.0	0.0
3872	1	1	33.0	51.0	1.0
3873			27.0	51.0	0.0
3874	1	1	27.0	27.0	1.0
3882	2|1|1|1|3|2|2|2|3|2|2|2|3|2|1|1|3|2|1|1|3|2|1|1|3|2|1	1|1|1|1|3|3|3|2|2|2|2|1|3|3|3|2|2|2|2|1|2|2|2|1|1|1|1	138.0	51.0	27.0
3883	1	1	51.0	27.0	1.0
3884	1|1|3|2|2|2|3|2|2|2|3|2|1|1|3|2|1|1|3|2|1|1|3|2|1|2|1	1|1|3|3|3|2|2|2|2|1|3|3|3|2|2|2|2|1|2|2|2|1|1|1|1|1|1	51.0	78.0	27.0
3885	1	1	6.0	6.0	1.0
3886	1	1	12.0	6.0	1.0
3887	1|2|2|1|1|1	1|2|1|2|1|1	12.0	6.0	6.0
3892			12.0	6.0	0.0
3893	1	1	6.0	6.0	1.0
3895			6.0	6.0	0.0
3898			6.0	12.0	0.0
3899			12.0	6.0	0.0
3901			6.0	6.0	0.0
3904	1|1	1|1	19.0	19.0	2.0
3905	1|1|2|2|2|2|2|2|2|2|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1	1|1|4|3|3|2|3|2|2|1|4|3|3|2|3|2|2|1|3|2|2|1|2|1|1	99.0	73.0	25.0
3908			19.0	24.0	0.0
3912	1	1	12.0	19.0	1.0
3914	1|2|2|2|2|1|1|1|1|1|1|1	1|3|2|2|1|3|2|2|1|2|1|1	24.0	12.0	12.0
3915	1|2|2|2|2|1|1|1|1|1|1|1	1|3|2|2|1|3|2|2|1|2|1|1	24.0	12.0	12.0
3917	1	1	24.0	19.0	1.0
3920	1	1	12.0	19.0	1.0
3921	2|1|1|5|4|3|2|1|1|5|4|3|2|1|4|3|2|1|3|2|1	1|1|1|2|2|2|2|2|1|1|1|1|1|1|1|1|1|1|1|1|1	33.0	46.0	21.0
3924	1|1|1|1|1|2|2|1|1|1|3|3|2|2|2|1|4|4|3|3|3|2|1|5|5|4|4|4|3|2|1|6|6|5|5|5|4|3|2|1|1|6|6|5|5|5|4|3|2|1|8|8|7|7|7|6|5|4|3|3|8|8|7|7|7|6|5|4|3|2|2|2|8|8|7|7|7|6|5|4|3|3|8|8|7|7|7|6|5|4|3|2|2|2|8|8|7|7|7|6|5|4|3|3|8|8|7|7|7|6|5|4|3|2|2|2|8|8|7|7|7|6|5|4|3|3|8|8|7|7|7|6|5|4|3|2|2|2|8|8|7|7|7|6|5|4|3|3|8|8|7|7|7|6|5|4|3|2|2|2|8|8|7|7|7|6|5|4|3|3|8|8|7|7|7|6|5|4|3|2|2|2|8|8|7|7|7|6|5|4|3|3|8|8|7|7|7|6|5|4|3|2|2|2|8|8|7|7|7|6|5|4|3|3|8|8|7|7|7|6|5|4|3|2|2|2|8|8|7|7|7|6|5|4|3|3|8|8|7|7|7|6|5|4|3|2|2|2|8|8|7|7|7|6|5|4|3|3|8|8|7|7|7|6|5|4|3|2|2|2|8|8|7|7|7|6|5|4|3|3|8|8|7|7|7|6|5|4|3|2|2|2|8|8|7|7|7|6|5|4|3|3|8|8|7|7|7|6|5|4|3|2|2|2|8|8|7|7|7|6|5|4|3|3|8|8|7|7|7|6|5|4|3|2|2|2|8|8|7|7|7|6|5|4|3|3|8|8|7|7|7|6|5|4|3|2|1|1|8|8|7|7|7|6|5|4|3|3|8|8|7|7|7|6|5|4|3|2|1|1|8|8|7|7|7|6|5|4|3|3|8|8|7|7|7|6|5|4|3|2|2|2|8|8|7|7|7|6|5|4|3|3|8|8|7|7|7|6|5|4|3|2|2|2|8|8|7|7|7|6|5|4|3|3|8|8|7|7|7|6|5|4|3|2|2|2|8|8|7|7|7|6|5|4|3|3|8|8|7|7|7|6|5|4|3|2|1|1|8|8|7|7|7|6|5|4|3|3|8|8|7|7|7|6|5|4|3|2|1|1|8|8|7|7|7|6|5|4|3|3|8|8|7|7|7|6|5|4|3|2|2|2|8|8|7|7|7|6|5|4|3|3|8|8|7|7|7|6|5|4|3|2|2|2|8|8|7|7|7|6|5|4|3|3|8|8|7|7|7|6|5|4|3|2|2|2|8|8|7|7|7|6|5|4|3|3|8|8|7|7|7|6|5|4|3|2|1|1|8|8|7|7|7|6|5|4|3|3|8|8|7|7|7|6|5|4|3|2|1|1|8|8|7|7|7|6|5|4|3|3|8|8|7|7|7|6|5|4|3|2|2|2|8|8|7|7|7|6|5|4|3|3|8|8|7|7|7|6|5|4|3|2|2|2|8|8|7|7|7|6|5|4|3|3|8|8|7|7|7|6|5|4|3|2|2|2|8|8|7|7|7|6|5|4|3|3|8|8|7|7|7|6|5|4|3|2|1|1|8|8|7|7|7|6|5|4|3|3|8|8|7|7|7|6|5|4|3|2|1|7|7|6|6|6|5|4|3|2|2|7|7|6|6|6|5|4|3|2|1	2|1|1|1|1|2|1|2|1|1|2|1|2|1|1|1|2|1|2|1|1|1|1|2|1|2|1|1|1|1|1|3|2|3|2|2|2|2|2|2|1|2|1|2|1|1|1|1|1|1|7|6|7|6|6|6|6|6|6|5|6|5|6|5|5|5|5|5|5|5|5|4|6|5|6|5|5|5|5|5|5|4|5|4|5|4|4|4|4|4|4|4|4|3|6|5|6|5|5|5|5|5|5|4|5|4|5|4|4|4|4|4|4|4|4|3|6|5|6|5|5|5|5|5|5|4|5|4|5|4|4|4|4|4|4|4|4|3|5|4|5|4|4|4|4|4|4|3|4|3|4|3|3|3|3|3|3|3|3|2|6|5|6|5|5|5|5|5|5|4|5|4|5|4|4|4|4|4|4|4|4|3|5|4|5|4|4|4|4|4|4|3|4|3|4|3|3|3|3|3|3|3|3|2|5|4|5|4|4|4|4|4|4|3|4|3|4|3|3|3|3|3|3|3|3|2|5|4|5|4|4|4|4|4|4|3|4|3|4|3|3|3|3|3|3|3|3|2|4|3|4|3|3|3|3|3|3|2|3|2|3|2|2|2|2|2|2|2|2|1|7|6|7|6|6|6|6|6|6|5|6|5|6|5|5|5|5|5|5|5|5|4|6|5|6|5|5|5|5|5|5|4|5|4|5|4|4|4|4|4|4|4|4|3|6|5|6|5|5|5|5|5|5|4|5|4|5|4|4|4|4|4|4|4|4|3|6|5|6|5|5|5|5|5|5|4|5|4|5|4|4|4|4|4|4|4|4|3|5|4|5|4|4|4|4|4|4|3|4|3|4|3|3|3|3|3|3|3|3|2|6|5|6|5|5|5|5|5|5|4|5|4|5|4|4|4|4|4|4|4|4|3|5|4|5|4|4|4|4|4|4|3|4|3|4|3|3|3|3|3|3|3|3|2|5|4|5|4|4|4|4|4|4|3|4|3|4|3|3|3|3|3|3|3|3|2|5|4|5|4|4|4|4|4|4|3|4|3|4|3|3|3|3|3|3|3|3|2|4|3|4|3|3|3|3|3|3|2|3|2|3|2|2|2|2|2|2|2|2|1|6|5|6|5|5|5|5|5|5|4|5|4|5|4|4|4|4|4|4|4|4|3|5|4|5|4|4|4|4|4|4|3|4|3|4|3|3|3|3|3|3|3|3|2|5|4|5|4|4|4|4|4|4|3|4|3|4|3|3|3|3|3|3|3|3|2|5|4|5|4|4|4|4|4|4|3|4|3|4|3|3|3|3|3|3|3|3|2|4|3|4|3|3|3|3|3|3|2|3|2|3|2|2|2|2|2|2|2|2|1|5|4|5|4|4|4|4|4|4|3|4|3|4|3|3|3|3|3|3|3|3|2|4|3|4|3|3|3|3|3|3|2|3|2|3|2|2|2|2|2|2|2|2|1|4|3|4|3|3|3|3|3|3|2|3|2|3|2|2|2|2|2|2|2|2|1|4|3|4|3|3|3|3|3|3|2|3|2|3|2|2|2|2|2|2|2|2|1|3|2|3|2|2|2|2|2|2|1|2|1|2|1|1|1|1|1|1|1|1|3|2|3|2|2|2|2|2|2|1|2|1|2|1|1|1|1|1|1|1	729.0	2598.0	729.0
3929	1	1	33.0	367.0	1.0
3930	1|1|2|1	1|1|1|1	46.0	729.0	4.0
3934	1|2|1|1|2|1|1|2|1|1|2|1	1|3|3|2|2|2|1|2|2|1|1|1	19.0	19.0	12.0
3935	1|2|1	1|1|1	19.0	27.0	3.0
3936	1|1|3|2|2|2|3|2|2|2|3|2|1|1|3|2|1|1|3|2|1|1|3|2|1|2|1	1|1|3|3|3|2|2|2|2|1|3|3|3|2|2|2|2|1|2|2|2|1|1|1|1|1|1	51.0	27.0	27.0
3938	1|1	1|1	51.0	19.0	2.0
3939	1|1	1|1	19.0	37.0	2.0
3940	1	1	19.0	27.0	1.0
3942	1|1	1|1	19.0	27.0	2.0
3943	2|1|1|1|3|2|2|2|3|2|2|2|3|2|1|1|3|2|1|1|3|2|1|1|3|2|1	1|1|1|1|3|3|3|2|2|2|2|1|3|3|3|2|2|2|2|1|2|2|2|1|1|1|1	102.0	51.0	27.0
3947	2|1|1|3|2|1|1|3|2|1|1|3|2|1|1|3|2|1	1|1|1|3|3|3|2|2|2|2|1|2|2|2|1|1|1|1	51.0	51.0	18.0
3948	1|3|2|1|2|1	1|1|1|1|1|1	51.0	25.0	6.0
3949	2|1|1|3|2|1|1|3|2|1|1|3|2|1|1|3|2|1	1|1|1|3|3|3|2|2|2|2|1|2|2|2|1|1|1|1	102.0	51.0	18.0
3951	2|1|1|3|2|1|1|3|2|1|1|3|2|1|1|3|2|1|1|3|2|1|1|3|2|1|1|3|2|1|1|3|2|1	1|1|1|4|4|4|3|3|3|3|2|3|3|3|2|2|2|2|1|3|3|3|2|2|2|2|1|2|2|2|1|1|1|1	51.0	51.0	34.0
3955	1|1|1|1|2|2|2|1|4|4|4|3|2|2|4|4|4|3|2|1|1|3|3|3|2|1|1|3|3|3|2|1|5|5|5|4|3|3|5|5|5|4|3|2|2|2|5|5|5|4|3|3|5|5|5|4|3|2|2|2|5|5|5|4|3|3|5|5|5|4|3|2|2|2|5|5|5|4|3|3|5|5|5|4|3|2|2|2|5|5|5|4|3|3|5|5|5|4|3|2|2|2|5|5|5|4|3|3|5|5|5|4|3|2|2|2|5|5|5|4|3|3|5|5|5|4|3|2|2|2|5|5|5|4|3|3|5|5|5|4|3|2|1|1|5|5|5|4|3|3|5|5|5|4|3|2|1|1|5|5|5|4|3|3|5|5|5|4|3|2|2|2|5|5|5|4|3|3|5|5|5|4|3|2|1|1|5|5|5|4|3|3|5|5|5|4|3|2|1|1|5|5|5|4|3|3|5|5|5|4|3|2|2|2|5|5|5|4|3|3|5|5|5|4|3|2|1|1|5|5|5|4|3|3|5|5|5|4|3|2|1|1|5|5|5|4|3|3|5|5|5|4|3|2|2|2|5|5|5|4|3|3|5|5|5|4|3|2|1|1|5|5|5|4|3|3|5|5|5|4|3|2|1	2|1|1|1|2|1|1|1|3|2|2|2|2|1|2|1|1|1|1|1|1|3|2|2|2|2|1|2|1|1|1|1|6|5|5|5|5|4|5|4|4|4|4|4|4|3|6|5|5|5|5|4|5|4|4|4|4|4|4|3|5|4|4|4|4|3|4|3|3|3|3|3|3|2|5|4|4|4|4|3|4|3|3|3|3|3|3|2|5|4|4|4|4|3|4|3|3|3|3|3|3|2|4|3|3|3|3|2|3|2|2|2|2|2|2|1|6|5|5|5|5|4|5|4|4|4|4|4|4|3|6|5|5|5|5|4|5|4|4|4|4|4|4|3|5|4|4|4|4|3|4|3|3|3|3|3|3|2|5|4|4|4|4|3|4|3|3|3|3|3|3|2|5|4|4|4|4|3|4|3|3|3|3|3|3|2|4|3|3|3|3|2|3|2|2|2|2|2|2|1|5|4|4|4|4|3|4|3|3|3|3|3|3|2|5|4|4|4|4|3|4|3|3|3|3|3|3|2|4|3|3|3|3|2|3|2|2|2|2|2|2|1|4|3|3|3|3|2|3|2|2|2|2|2|2|1|4|3|3|3|3|2|3|2|2|2|2|2|2|1|3|2|2|2|2|1|2|1|1|1|1|1|1	535.0	283.0	283.0
3956			283.0	94.0	0.0
3957	1|3|2|1|1|3|2|1|1|2|1	1|2|2|2|1|1|1|1|1|1|1	454.0	78.0	11.0
3958	1|2|1|1|3|2|1|1|3|2|1	1|1|1|1|2|2|2|1|1|1|1	535.0	78.0	11.0
3961	1|1	1|1	51.0	283.0	2.0
3970	1	1	48.0	33.0	1.0
3972	1|2|2|2|2|1|1|1|1|1|1|1	1|3|2|2|1|3|2|2|1|2|1|1	24.0	12.0	12.0
3973	1	1	12.0	19.0	1.0
3976			6.0	12.0	0.0
3980	1|1|1	2|1|1	12.0	12.0	3.0
3985			51.0	19.0	0.0
3986			19.0	27.0	0.0
3987			19.0	19.0	0.0
3990	1|1|2|2|2|2|2|2|2|1|1|2|1|1|2|1|1|2|1	1|1|3|3|2|2|2|1|3|3|2|2|2|1|2|2|1|1|1	37.0	19.0	19.0
3992	1|2|1|1|2|1|1|2|1|1|2|1|1|2|1|1|2|1|1|2|1|1|2|1	1|4|4|3|3|3|2|3|3|2|2|2|1|3|3|2|2|2|1|2|2|1|1|1	73.0	73.0	24.0
3993	1|2|1|1|2|1|1|2|1|1|2|1	1|3|3|2|2|2|1|2|2|1|1|1	73.0	90.0	12.0
3994	1	1	73.0	96.0	1.0
3995			73.0	19.0	0.0
3998			73.0	37.0	0.0
3999			73.0	27.0	0.0
4002	1|1	1|1	19.0	37.0	2.0
4004	1|2|1|1|2|1|1|2|1|1|2|1|1|2|1|1|2|1|1|2|1|1|2|1	1|4|4|3|3|3|2|3|3|2|2|2|1|3|3|2|2|2|1|2|2|1|1|1	37.0	37.0	24.0
4007	1|2|1|1|2|1|1|2|1|1|2|1	1|3|3|2|2|2|1|2|2|1|1|1	19.0	73.0	12.0
4012	1|1|2|2|2|2|2|2|2|2|2|2|2|2|2|1|1|2|1|1|2|1|1|2|1|1|2|1|1|2|1|1|2|1|1|2|1	1|1|4|4|3|3|3|2|3|3|2|2|2|1|4|4|3|3|3|2|3|3|2|2|2|1|3|3|2|2|2|1|2|2|1|1|1	144.0	63.0	37.0
4013	1|1|1|1|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|1|1|2|2|2|1|1|2|2|2|1|1|2|2|2|1|1|2|2|2|1|1|2|2|2|1|1|2|2|2|1|1|2|2|2|1	2|1|1|1|5|4|4|4|3|4|3|3|3|2|4|3|3|3|2|3|2|2|2|1|5|4|4|4|3|4|3|3|3|2|4|3|3|3|2|3|2|2|2|1|4|3|3|3|2|3|2|2|2|1|3|2|2|2|1|2|1|1|1	63.0	123.0	63.0
4014	1|1|1|1|1|1|1	3|2|2|1|2|1|1	63.0	79.0	7.0
4017	1|1|1|1|1|1|1|1|1|1|1|1|1|1|1	4|3|3|2|3|2|2|1|3|2|2|1|2|1|1	37.0	37.0	15.0
4020	1|1|1|1|1|1|1|1|1|1|1|1|1|1|1	4|3|3|2|3|2|2|1|3|2|2|1|2|1|1	63.0	37.0	15.0
4021	1|2|2|2|2|2|2|2|2|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1	1|4|3|3|2|3|2|2|1|4|3|3|2|3|2|2|1|3|2|2|1|2|1|1	144.0	37.0	24.0
4028	1|2|1|1|3|2|2|2|3|2|1|1|3|2|1	1|1|1|1|2|2|2|1|2|2|2|1|1|1|1	93.0	76.0	15.0
4033			133.0	76.0	0.0
4034	1	1	51.0	76.0	1.0
4036	3|2|1|1|3|2|1|2|1|1|4|3|2|2|4|3|2|1|1|4|3|2|2|4|3|2|1|1|4|3|2|2|4|3|2|1|1|4|3|2|2|4|3|2|1	2|2|2|1|1|1|1|1|1|1|4|4|4|3|3|3|3|3|2|3|3|3|2|2|2|2|2|1|3|3|3|2|2|2|2|2|1|2|2|2|1|1|1|1|1	64.0	64.0	45.0
4037	3|2|1|1|3|2|1|2|1|1|4|3|2|2|4|3|2|1	2|2|2|1|1|1|1|1|1|1|2|2|2|1|1|1|1|1	64.0	78.0	18.0
4038			51.0	19.0	0.0
4040			64.0	51.0	0.0
4041			64.0	19.0	0.0
4043			19.0	78.0	0.0
4045	1	1	6.0	6.0	1.0
4046	1	1	12.0	6.0	1.0
4047	1|1|3|2|2|2|3|2|2|2|3|2|1|1|3|2|1|1|3|2|1|1|3|2|1|2|1	1|1|3|3|3|2|2|2|2|1|3|3|3|2|2|2|2|1|2|2|2|1|1|1|1|1|1	51.0	27.0	27.0
4049	1|2|2|1|1|1	1|2|1|2|1|1	51.0	6.0	6.0
4050	1	1	6.0	51.0	1.0
4056	1|3|2|1|1|3|2|1|1|3|2|1|1|3|2|1|2|1	1|3|3|3|2|2|2|2|1|2|2|2|1|1|1|1|1|1	27.0	27.0	18.0
4058	1|3|2|1|1|3|2|1|2|1	1|2|2|2|1|1|1|1|1|1	27.0	27.0	10.0
4061	1|3|2|1|2|1	1|1|1|1|1|1	36.0	27.0	6.0
4062	1|3|2|1|1|3|2|1|2|1	1|2|2|2|1|1|1|1|1|1	27.0	27.0	10.0
4063	3|3|3|2|1|1|3|3|3|2|1|1|3|3|3|2|1|1|3|3|3|2|1|2|2|2|1|1|1|1|1|4|4|4|3|2|2|4|4|4|3|2|2|4|4|4|3|2|2|4|4|4|3|2|2|2|4|4|4|3|2|2|4|4|4|3|2|2|4|4|4|3|2|2|4|4|4|3|2|2|2|4|4|4|3|2|2|4|4|4|3|2|2|4|4|4|3|2|2|4|4|4|3|2|2|2|4|4|4|3|2|2|4|4|4|3|2|2|4|4|4|3|2|2|4|4|4|3|2|2|2|4|4|4|3|2|2|4|4|4|3|2|2|4|4|4|3|2|2|4|4|4|3|2|1|1|4|4|4|3|2|2|4|4|4|3|2|2|4|4|4|3|2|2|4|4|4|3|2|1|1|4|4|4|3|2|2|4|4|4|3|2|2|4|4|4|3|2|2|4|4|4|3|2|1|1|4|4|4|3|2|2|4|4|4|3|2|2|4|4|4|3|2|2|4|4|4|3|2|1|1|4|4|4|3|2|2|4|4|4|3|2|2|4|4|4|3|2|2|4|4|4|3|2|1|1|4|4|4|3|2|2|4|4|4|3|2|2|4|4|4|3|2|2|4|4|4|3|2|1|1|4|4|4|3|2|2|4|4|4|3|2|2|4|4|4|3|2|2|4|4|4|3|2|1|1|4|4|4|3|2|2|4|4|4|3|2|2|4|4|4|3|2|2|4|4|4|3|2|1	4|3|3|3|3|2|3|2|2|2|2|1|3|2|2|2|2|1|2|1|1|1|1|2|1|1|1|2|1|1|1|7|6|6|6|6|5|6|5|5|5|5|4|6|5|5|5|5|4|5|4|4|4|4|4|3|6|5|5|5|5|4|5|4|4|4|4|3|5|4|4|4|4|3|4|3|3|3|3|3|2|6|5|5|5|5|4|5|4|4|4|4|3|5|4|4|4|4|3|4|3|3|3|3|3|2|5|4|4|4|4|3|4|3|3|3|3|2|4|3|3|3|3|2|3|2|2|2|2|2|1|7|6|6|6|6|5|6|5|5|5|5|4|6|5|5|5|5|4|5|4|4|4|4|4|3|6|5|5|5|5|4|5|4|4|4|4|3|5|4|4|4|4|3|4|3|3|3|3|3|2|6|5|5|5|5|4|5|4|4|4|4|3|5|4|4|4|4|3|4|3|3|3|3|3|2|5|4|4|4|4|3|4|3|3|3|3|2|4|3|3|3|3|2|3|2|2|2|2|2|1|6|5|5|5|5|4|5|4|4|4|4|3|5|4|4|4|4|3|4|3|3|3|3|3|2|5|4|4|4|4|3|4|3|3|3|3|2|4|3|3|3|3|2|3|2|2|2|2|2|1|5|4|4|4|4|3|4|3|3|3|3|2|4|3|3|3|3|2|3|2|2|2|2|2|1|4|3|3|3|3|2|3|2|2|2|2|1|3|2|2|2|2|1|2|1|1|1|1|1	657.0	330.0	330.0
4065	1|1|1	1|1|1	129.0	330.0	3.0
4068			330.0	51.0	0.0
4069			330.0	51.0	0.0
4071	1|1|1	2|1|1	51.0	633.0	3.0
4072	1|1|1	2|1|1	129.0	51.0	3.0
4074			51.0	19.0	0.0
4076	1|2|1|1|2|1|1|2|1|1|2|1	1|3|3|2|2|2|1|2|2|1|1|1	19.0	19.0	12.0
4083	1	1	19.0	19.0	1.0
4084	1|2|1|1|2|1|1|2|1|1|2|1	1|3|3|2|2|2|1|2|2|1|1|1	19.0	19.0	12.0
4085			51.0	19.0	0.0
4087	1|1	1|1	64.0	19.0	2.0
4088	1	1	6.0	6.0	1.0
4090	1|1|1	2|1|1	12.0	6.0	3.0
4094			51.0	6.0	0.0
4100	2|1|1|2|1|1	2|2|1|1|1|1	12.0	12.0	6.0
4102	1	1	12.0	12.0	1.0
4105			12.0	12.0	0.0
4108	1	1	19.0	19.0	1.0
4109			19.0	51.0	0.0
4112			27.0	19.0	0.0
4113			19.0	51.0	0.0
4115	1|2|2|1|1|1	1|2|1|2|1|1	19.0	19.0	6.0
4117	1|1|1|2|2|2|2|2|2|2|2|2|2|2|2|1|1|1|1|1|1|1	2|1|1|4|3|3|2|3|2|2|1|3|2|2|1|3|2|2|1|2|1|1	22.0	42.0	22.0
4118	2|1|1|1|1|1	1|1|1|2|1|1	45.0	45.0	6.0
4119	2|1|1|1|1|1|3|2|2|2|3|2|2|2|3|2|2|2|3|2|2|2|3|2|2|2|3|2|2|2|3|2|1|1|3|2|1|1|3|2|1|1|3|2|1	1|1|1|2|1|1|4|4|4|3|3|3|3|2|3|3|3|2|2|2|2|1|3|3|3|2|2|2|2|1|3|3|3|2|2|2|2|1|2|2|2|1|1|1|1	45.0	85.0	45.0
4120	1|1|1|1	2|1|1|1	43.0	45.0	4.0
4123	1	1	22.0	43.0	1.0
4125	1	1	45.0	42.0	1.0
4126	1	1	22.0	45.0	1.0
4127	1|1|2|1	1|1|1|1	27.0	27.0	4.0
4132	1|1|2|1	1|1|1|1	27.0	27.0	4.0
4134	1|2|1	1|1|1	36.0	27.0	3.0
4136	2|1|1|1	1|1|1|1	76.0	27.0	4.0
4137	1|2|1|1|3|2|2|2|3|2|1|1|3|2|1	1|1|1|1|2|2|2|1|2|2|2|1|1|1|1	93.0	76.0	15.0
4141	2|1|1	1|1|1	76.0	36.0	3.0
4142	1|3|2|1|2|1	1|1|1|1|1|1	27.0	27.0	6.0
4145	1|1	1|1	19.0	19.0	2.0
4146	1|2|1	1|1|1	27.0	19.0	3.0
4147	1	1	12.0	19.0	1.0
4148	1|2|2|2|2|1|1|1|1|1|1|1	1|3|2|2|1|3|2|2|1|2|1|1	12.0	24.0	12.0
4149	1	1	19.0	19.0	1.0
4152			12.0	27.0	0.0
4154	1	1	33.0	85.0	1.0
4162	1|2|2|1|1|1	1|2|1|2|1|1	33.0	19.0	6.0
4163	3|2|1|1|3|2|1|2|1|1|1	2|2|2|1|1|1|1|1|1|1|1	64.0	64.0	11.0
4165	1|1|1|1|1|1|1|2|2|2|2|2|2|2|2|2|2|2|2|2|2|1|1|1|1|3|3|3|3|3|3|3|3|3|3|3|3|3|3|2|2|2|2|2|3|3|3|3|3|3|3|3|3|3|3|3|3|3|2|2|2|2|2|3|3|3|3|3|3|3|3|3|3|3|3|3|3|2|2|2|1|1|3|3|3|3|3|3|3|3|3|3|3|3|3|3|2|2|2|1|1|3|3|3|3|3|3|3|3|3|3|3|3|3|3|2|2|2|1|1|3|3|3|3|3|3|3|3|3|3|3|3|3|3|2|2|2|1	3|2|2|1|2|1|1|4|3|3|2|3|2|2|1|3|2|2|1|2|1|2|1|1|1|6|5|5|4|5|4|4|3|5|4|4|3|4|3|4|3|3|3|2|5|4|4|3|4|3|3|2|4|3|3|2|3|2|3|2|2|2|1|6|5|5|4|5|4|4|3|5|4|4|3|4|3|4|3|3|3|2|5|4|4|3|4|3|3|2|4|3|3|2|3|2|3|2|2|2|1|5|4|4|3|4|3|3|2|4|3|3|2|3|2|3|2|2|2|1|4|3|3|2|3|2|2|1|3|2|2|1|2|1|2|1|1|1	267.0	267.0	138.0
4168	1|1	1|1	64.0	267.0	2.0
4173	1|2|1	1|1|1	27.0	19.0	3.0
4174			51.0	19.0	0.0
4176			51.0	19.0	0.0
4178	1|2|2|1|1|1	1|2|1|2|1|1	19.0	19.0	6.0
4179			19.0	27.0	0.0
4181	1|1	1|1	19.0	19.0	2.0
4183	1|1|2|1	1|1|1|1	27.0	36.0	4.0
4185	1|1|1	2|1|1	27.0	43.0	3.0
4193	1	1	6.0	12.0	1.0
4194	1|2|2|1|1|1	1|2|1|2|1|1	12.0	6.0	6.0
4195			12.0	6.0	0.0
4197			6.0	12.0	0.0
4199			6.0	12.0	0.0
4202	1|2|1	1|1|1	27.0	19.0	3.0
4205	1	1	19.0	48.0	1.0
4207	1	1	12.0	48.0	1.0
4209	1	1	19.0	48.0	1.0
4212	2|1|1|3|2|1|1|3|2|1	1|1|1|2|2|2|1|1|1|1	45.0	45.0	10.0
4213	2|1|1|1|1|1	1|1|1|2|1|1	45.0	45.0	6.0
4214	1	1	45.0	19.0	1.0
4216			45.0	51.0	0.0
4219	1|2|2|1|1|1	1|2|1|2|1|1	12.0	6.0	6.0
4220			6.0	12.0	0.0
4221	4|4|3|3|2|2|2|2|4|4|3|3|2|2|1|1|1|3|2|1|1|3|2|1|2|1|1	3|2|3|2|3|2|2|1|2|1|2|1|2|1|2|1|1|2|2|2|1|1|1|1|1|1|1	45.0	27.0	27.0
4223	1	1	45.0	6.0	1.0
4228			34.0	12.0	0.0
4231	1	1	6.0	6.0	1.0
4232			6.0	12.0	0.0
4235			12.0	6.0	0.0
4236	1	1	6.0	12.0	1.0
